file	source_title	author	license	source_url
kerala.jpg	File:Houseboat on Alleppey backwaters (Kerala, India 2023) (52704577484).jpg	Paul Arps from The Netherlands	CC BY 2.0	https://commons.wikimedia.org/wiki/File%3AHouseboat_on_Alleppey_backwaters_%28Kerala%2C_India_2023%29_%2852704577484%29.jpg
rajasthan.jpg	File:Mehrangarh Fort 2, Jodhpur, Rajasthan, India.jpg	Yann (talk)	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3AMehrangarh_Fort_2%2C_Jodhpur%2C_Rajasthan%2C_India.jpg
ladakh.jpg	File:Pangong Tso 2.jpg	KennyOMG	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3APangong_Tso_2.jpg
goa.jpg	File:Palolem Beach, South Goa.jpg	iMahesh	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3APalolem_Beach%2C_South_Goa.jpg
kashmir.jpg	File:Dal Lake, Srinagar, Jammu and Kashmir.jpg	Dashrathgoyal85	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3ADal_Lake%2C_Srinagar%2C_Jammu_and_Kashmir.jpg
himachal.jpg	File:Snow covered Rohtang Pass.jpg	BIPROJYOTI	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3ASnow_covered_Rohtang_Pass.jpg
andaman.jpg	File:Havelock Island, Radhanagar Beach, tropical bliss, Andaman Islands.jpg	Vyacheslav Argenberg	CC BY 4.0	https://commons.wikimedia.org/wiki/File%3AHavelock_Island%2C_Radhanagar_Beach%2C_tropical_bliss%2C_Andaman_Islands.jpg
golden-triangle.jpg	File:Agra 03-2016 07 Taj Mahal complex.jpg	A.Savin	FAL	https://commons.wikimedia.org/wiki/File%3AAgra_03-2016_07_Taj_Mahal_complex.jpg
karnataka.jpg	File:RAJA SEAT HILL VIEW.jpg	372shivanipoovaiah	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3ARAJA_SEAT_HILL_VIEW.jpg
sikkim.jpg	File:Kanchenjunga range from tea gardens of darjeeling.jpg	Souviknshm	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3AKanchenjunga_range_from_tea_gardens_of_darjeeling.jpg
bali.jpg	File:Rice terraces on Bali - Tegalalang Rice Terrace - Indonesia 05.jpg	Thomas Fuhrmann	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3ARice_terraces_on_Bali_-_Tegalalang_Rice_Terrace_-_Indonesia_05.jpg
switzerland.jpg	File:CH.VS.Zermatt 2021-10-17 Matterhorn 8726.jpg	Roy Egloff	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3ACH.VS.Zermatt_2021-10-17_Matterhorn_8726.jpg
dubai.jpg	File:Dubai Skyline mit Burj Khalifa (18241030269).jpg	Tim Reckmann from Hamm, Deutschland	CC BY 2.0	https://commons.wikimedia.org/wiki/File%3ADubai_Skyline_mit_Burj_Khalifa_%2818241030269%29.jpg
maldives.jpg	File:Diamonds Thudufushi Beach and Water Villas, May 2017 -04.jpg	Martin Falbisoner	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3ADiamonds_Thudufushi_Beach_and_Water_Villas%2C_May_2017_-04.jpg
malaysia.jpg	File:The Twins SE Asia 2019 (49171985716).jpg	James Kerwin from Tbilisi	CC BY 2.0	https://commons.wikimedia.org/wiki/File%3AThe_Twins_SE_Asia_2019_%2849171985716%29.jpg
thailand.jpg	File:Playa Maya, Ko Phi Phi, Tailandia, 2013-08-19, DD 13.JPG	Diego Delso	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File%3APlaya_Maya%2C_Ko_Phi_Phi%2C_Tailandia%2C_2013-08-19%2C_DD_13.JPG
vietnam.jpg	File:View of sea from Titov Island, Ha Long Bay, Vietnam, 20240128 1337 3732.jpg	Jakub Hałun	CC BY 4.0	https://commons.wikimedia.org/wiki/File%3AView_of_sea_from_Titov_Island%2C_Ha_Long_Bay%2C_Vietnam%2C_20240128_1337_3732.jpg
singapore.jpg	File:Singapore (SG), View from Marina Bay Sands, Gardens by the Bay -- 2019 -- 4722.jpg	Dietmar Rabich	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3ASingapore_%28SG%29%2C_View_from_Marina_Bay_Sands%2C_Gardens_by_the_Bay_--_2019_--_4722.jpg
sri-lanka.jpg	File:Sigiriya Rock Fortress View from Pidurangala Rock.jpg	Gayomiw	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File%3ASigiriya_Rock_Fortress_View_from_Pidurangala_Rock.jpg
